Derivative,Original_Function
exp(x),exp(x)
1/x,log(x)
exp(x),exp(x)
5 - 4*x,-2*x**2 + 5*x + 3
1/x,log(x)
-30*x**2 - 6*x - 8,-10*x**3 - 3*x**2 - 8*x - 5
tan(x)**2 + 1,tan(x)
(-30*x**2 + 36*x + 18)*(-5*x**3 + 9*x**2 + 9*x + 10),(-5*x**3 + 9*x**2 + 9*x + 10)**2
(tan(x)**2 + 1)*(-8*x**3 - 6*x**2 - 14*x - 10) + (-24*x**2 - 12*x - 14)*tan(x),(-8*x**3 - 6*x**2 - 14*x - 10)*tan(x)
cos(x),sin(x)
1/x,log(x)
1/x,log(x)
1/x,log(x)
1/x,log(x)
cos(x),sin(x)
1/x,log(x)
-15*x**2 - 8*x + 9,-5*x**3 - 4*x**2 + 9*x - 9
12*x**2 + 18*x + tan(x)**2 + 8,4*x**3 + 9*x**2 + 7*x + tan(x) + 3
-sin(x),cos(x)
cos(x),sin(x)
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
1/x,log(x)
10 - 10*x,-5*x**2 + 10*x - 4
exp(x),exp(x)
exp(x),exp(x)
-sin(x),cos(x)
27*x**2 + 10*x + 7,9*x**3 + 5*x**2 + 7*x - 2
3*x**2 - 10*x + 7,x**3 - 5*x**2 + 7*x - 6
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
1/x,log(x)
1/x,log(x)
30*x**2 - 12*x - 7,10*x**3 - 6*x**2 - 7*x + 8
exp(x),exp(x)
-12*x**2 + 16*x + 4,-4*x**3 + 8*x**2 + 4*x + 4
-12*x**2 + 6*x + 6,-4*x**3 + 3*x**2 + 6*x - 9
cos(x),sin(x)
-3*x**2 + 18*x + 9,-x**3 + 9*x**2 + 9*x + 10
-6*x**2 - 2*x - 5,-2*x**3 - x**2 - 5*x + 8
tan(x)**2 + 1,tan(x)
1/x,log(x)
exp(x) - sin(x),exp(x) + cos(x)
-15*x**2 - 16*x + 8,-5*x**3 - 8*x**2 + 8*x - 5
exp(x),exp(x)
30*x**2 + 10*x - 10,10*x**3 + 5*x**2 - 10*x + 6
exp(x),exp(x)
1/x,log(x)
6*x**2 + 4*x - 6,2*x**3 + 2*x**2 - 6*x + 4
tan(x)**2 + 1,tan(x)
-3*x**2 + 2*x - 10,-x**3 + x**2 - 10*x - 7
cos(x),sin(x)
18*x**2 - 18*x - 2,6*x**3 - 9*x**2 - 2*x + 1
1/x,log(x)
exp(x),exp(x)
exp(x),exp(x)
(-27*x**2 + 12*x - 6)*cos(x) - (-9*x**3 + 6*x**2 - 6*x)*sin(x),(-9*x**3 + 6*x**2 - 6*x)*cos(x)
-15*x**2 - 16*x - 1,-5*x**3 - 8*x**2 - x + 4
1/x,log(x)
-3*x**2 - 12*x - sin(x) + 3,-x**3 - 6*x**2 + 3*x + cos(x) + 9
cos(x),sin(x)
-9*x**2 + 12*x - 8,-3*x**3 + 6*x**2 - 8*x - 3
exp(x) + tan(x)**2 + 1,exp(x) + tan(x)
-sin(x),cos(x)
30*x**2 + 5,10*x**3 + 5*x + 2
cos(x),sin(x)
cos(x),sin(x)
cos(x),sin(x)
-6*x**2 - 7,-2*x**3 - 7*x + 3
12*x**2 - 10*x + 9,4*x**3 - 5*x**2 + 9*x + 8
-sin(x),cos(x)
exp(x),exp(x)
cos(x),sin(x)
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
exp(x),exp(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
-sin(x),cos(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
18*x**2 - 2*x - 7,6*x**3 - x**2 - 7*x - 8
exp(x),exp(x)
1/x,log(x)
3*x**2 + 6*x,x**3 + 3*x**2 + 1
tan(x)**2 + 1,tan(x)
-14*x,6 - 7*x**2
cos(x),sin(x)
1/x,log(x)
1/x,log(x)
21*x**2 - 16*x + 4,7*x**3 - 8*x**2 + 4*x - 7
cos(x),sin(x)
2/x,2*log(x)
1/x,log(x)
-15*x**2 + 16*x + 8,-5*x**3 + 8*x**2 + 8*x + 5
-sin(x),cos(x)
-18*x**2 - 12*x - 2,-6*x**3 - 6*x**2 - 2*x - 7
-15*x**2 - 12*x + 1 + 1/x,-5*x**3 - 6*x**2 + x + log(x) - 7
6*x**2 - 4*x - 2,2*x**3 - 2*x**2 - 2*x + 8
cos(x),sin(x)
18*x**2 - 4*x + 4,6*x**3 - 2*x**2 + 4*x - 5
27*x**2 - 14*x - 10,9*x**3 - 7*x**2 - 10*x + 10
2*log(x)/x,log(x)**2
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
9*x**2 - 18*x + 10,3*x**3 - 9*x**2 + 10*x + 2
exp(x),exp(x)
6*x**2 - 12*x,2*x**3 - 6*x**2 - 9
-2*exp(x)*sin(x) + 2*exp(x)*cos(x),2*exp(x)*cos(x)
cos(x),sin(x)
(12*x**2 + 8*x)*exp(x) + (4*x**3 + 4*x**2)*exp(x),(4*x**3 + 4*x**2)*exp(x)
3*x**2 - 10*x - 6,x**3 - 5*x**2 - 6*x - 8
-21*x**2 + 8*x - 7,-7*x**3 + 4*x**2 - 7*x + 6
cos(x),sin(x)
1 - 12*x**2,-4*x**3 + x + 5
(-30*x**2 - 18*x + cos(x) + 8)*exp(x) + (-10*x**3 - 9*x**2 + 8*x + sin(x) - 8)*exp(x),(-10*x**3 - 9*x**2 + 8*x + sin(x) - 8)*exp(x)
-30*x**2 + 20*x - 4,-10*x**3 + 10*x**2 - 4*x - 4
tan(x)**2 + 1,tan(x)
-2*sin(x),2*cos(x)
exp(x) - sin(x),exp(x) + cos(x)
24*x**2 + 8*x + 4,8*x**3 + 4*x**2 + 4*x + 6
-sin(x) + 1/x,log(x) + cos(x)
cos(x),sin(x)
12*x**2 - 20*x - 8,4*x**3 - 10*x**2 - 8*x - 10
-27*x**2 - 4*x + 3,-9*x**3 - 2*x**2 + 3*x + 6
-2*log(x)*sin(x) + 2*cos(x)/x,2*log(x)*cos(x)
20*x + 6,10*x**2 + 6*x - 8
(-18*x**2 - 20*x - 10)*(-3*x**3 - 5*x**2 - 5*x + 10) + (-9*x**2 - 10*x - 5)*(-6*x**3 - 10*x**2 - 10*x + 20),(-6*x**3 - 10*x**2 - 10*x + 20)*(-3*x**3 - 5*x**2 - 5*x + 10)
1/x,log(x)
cos(x),sin(x)
-sin(x),cos(x)
1/x,log(x)
4*log(x)/x,2*log(x)**2
tan(x)**2 + 1,tan(x)
(tan(x)**2 + 1)*(-8*x**3 + 3*x**2 + x + 6) + (-24*x**2 + 6*x + 1)*tan(x),(-8*x**3 + 3*x**2 + x + 6)*tan(x)
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
exp(x),exp(x)
(-18*x**2 + 16*x - 12)*(-3*x**3 + 4*x**2 - 6*x + 10) + (-9*x**2 + 8*x - 6)*(-6*x**3 + 8*x**2 - 12*x + 20),(-6*x**3 + 8*x**2 - 12*x + 20)*(-3*x**3 + 4*x**2 - 6*x + 10)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
-24*x**2 + 20*x + 10,-8*x**3 + 10*x**2 + 10*x - 9
exp(x),exp(x)
-9*x**2 + 12*x + 7,-3*x**3 + 6*x**2 + 7*x + 5
1/x,log(x)
12*x**2 - 12*x,4*x**3 - 6*x**2 - 3
27*x**2 - 12*x - 8,9*x**3 - 6*x**2 - 8*x + 7
1/x,log(x)
exp(x),exp(x)
exp(x) - sin(x),exp(x) + cos(x)
-30*x**2 + 16*x + cos(x) + 9,-10*x**3 + 8*x**2 + 9*x + sin(x) + 9
cos(x),sin(x)
-sin(x),cos(x)
24*x**2 + 18*x + 9,8*x**3 + 9*x**2 + 9*x + 1
30*x**2 + 12*x + 4,10*x**3 + 6*x**2 + 4*x - 7
9*x**2 - 20*x - 4,3*x**3 - 10*x**2 - 4*x + 4
tan(x)**2 + 1,tan(x)
12*x**2 + 10*x + 2 + 1/x,4*x**3 + 5*x**2 + 2*x + log(x) + 10
tan(x)**2 + 1,tan(x)
-54*x**2 + 28*x + 2,-18*x**3 + 14*x**2 + 2*x + 16
1/x,log(x)
2*sin(x)*cos(x),sin(x)**2
cos(x),sin(x)
6*x**2 + 16*x - 10,2*x**3 + 8*x**2 - 10*x + 1
exp(x),exp(x)
-18*x**2 + 6*x + 9,-6*x**3 + 3*x**2 + 9*x + 10
exp(x),exp(x)
1/x,log(x)
-3*x**2 - 8*x + 6,-x**3 - 4*x**2 + 6*x + 6
cos(x),sin(x)
tan(x)**2 + 1 + 1/x,log(x) + tan(x)
tan(x)**2 + 1,tan(x)
-exp(x)*sin(x) + exp(x)*cos(x),exp(x)*cos(x)
24*x**2 - 12*x,8*x**3 - 6*x**2 + 6
exp(x),exp(x)
(exp(x) + sin(x))*exp(x) + (exp(x) + cos(x))*exp(x),(exp(x) + sin(x))*exp(x)
3*x**2 - 2*x - 1,x**3 - x**2 - x + 3
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
30*x**2 + 12*x - 10,10*x**3 + 6*x**2 - 10*x + 4
2*tan(x)**2 + 2,2*tan(x)
12*x**2 - 2*x + 7,4*x**3 - x**2 + 7*x + 5
-6*x**2 + 10*x - 6,-2*x**3 + 5*x**2 - 6*x - 7
exp(x),exp(x)
-3*x**2 - 1,-x**3 - x - 9
-12*x**2 + 20*x - 3,-4*x**3 + 10*x**2 - 3*x + 4
-3*x**2 + 8*x - 5,-x**3 + 4*x**2 - 5*x - 7
exp(x),exp(x)
3*x**2 - 4*x,x**3 - 2*x**2 - 4
cos(x),sin(x)
cos(x),sin(x)
1/x,log(x)
1/x,log(x)
-3*x**2 - 20*x,-x**3 - 10*x**2
24*x - 8,12*x**2 - 8*x - 12
15*x**2 + 8*x - 1,5*x**3 + 4*x**2 - x - 1
-21*x**2 + 8*x - 2,-7*x**3 + 4*x**2 - 2*x - 6
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
-sin(x),cos(x)
exp(x),exp(x)
1/x,log(x)
(-12*x**2 - 16*x + 18)*(-2*x**3 - 4*x**2 + 9*x - 1),(-2*x**3 - 4*x**2 + 9*x - 1)**2
exp(x),exp(x)
(tan(x)**2 + 1)*(-9*x**3 - x**2 - 9*x + tan(x) - 3) + (-27*x**2 - 2*x + tan(x)**2 - 8)*tan(x),(-9*x**3 - x**2 - 9*x + tan(x) - 3)*tan(x)
21*x**2 - 8,7*x**3 - 8*x - 3
1/x,log(x)
2*(tan(x)**2 + 1)*exp(x) + 2*exp(x)*tan(x),2*exp(x)*tan(x)
-24*x**2 + 12*x - 9,-8*x**3 + 6*x**2 - 9*x + 4
18*x**2 - 10*x - 8,6*x**3 - 5*x**2 - 8*x - 8
12*x**2 - 10*x - 6,4*x**3 - 5*x**2 - 6*x + 6
-18*x**2 - 6*x - 6,-6*x**3 - 3*x**2 - 6*x + 5
1/x,log(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
cos(x),sin(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
-sin(x),cos(x)
-18*x**2 - 2*x - 6,-6*x**3 - x**2 - 6*x + 6
1/x,log(x)
(30*x**2 + 8*x + 6)*log(x) + (10*x**3 + 4*x**2 + 6*x + 10)/x,(10*x**3 + 4*x**2 + 6*x + 10)*log(x)
cos(x),sin(x)
-27*x**2 + 10*x + 2,-9*x**3 + 5*x**2 + 2*x + 7
(-27*x**2 + 16*x - 5)*log(x) + (-9*x**3 + 8*x**2 - 5*x - 7)/x,(-9*x**3 + 8*x**2 - 5*x - 7)*log(x)
1/x,log(x)
2*exp(x)*sin(x) + 2*exp(x)*cos(x),2*exp(x)*sin(x)
(exp(x) + tan(x))*(-3*x**2 + 4*x - 5) + (exp(x) + tan(x)**2 + 1)*(-x**3 + 2*x**2 - 5*x - 4),(exp(x) + tan(x))*(-x**3 + 2*x**2 - 5*x - 4)
6 - 10*x,-5*x**2 + 6*x - 10
(-30*x**2 + 8*x - 16)*(-5*x**3 + 2*x**2 - 8*x + 9),(-5*x**3 + 2*x**2 - 8*x + 9)**2
-30*x**2 + 20*x + 1,-10*x**3 + 10*x**2 + x + 6
(2*tan(x)**2 + 2)*tan(x),tan(x)**2
exp(x),exp(x)
1/x,log(x)
1/x,log(x)
cos(x),sin(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
12*x**2 + 12*x - 1,4*x**3 + 6*x**2 - x + 9
1/x,log(x)
cos(x),sin(x)
cos(x),sin(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
