Derivative,Original_Function
exp(x),exp(x)
cos(x),sin(x)
cos(x),sin(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
2*tan(x)**2 + 2,2*tan(x)
2*(-30*x**2 + 6*x + 4)*log(x) + 2*(-10*x**3 + 3*x**2 + 4*x + 10)/x,2*(-10*x**3 + 3*x**2 + 4*x + 10)*log(x)
1/x,log(x)
1/x,log(x)
-sin(x),cos(x)
21*x**2 - 6,7*x**3 - 6*x - 4
exp(x),exp(x)
exp(x),exp(x)
12*x**2 - 6,4*x**3 - 6*x - 4
-sin(x),cos(x)
1/x,log(x)
1/x,log(x)
16*x + 4,8*x**2 + 4*x - 8
exp(x),exp(x)
cos(x),sin(x)
24*x**2 + 18*x + 9,8*x**3 + 9*x**2 + 9*x - 7
30*x**2 - 14*x - 7,10*x**3 - 7*x**2 - 7*x - 2
tan(x)**2 + 1,tan(x)
-3*x**2 - 16*x - 6,-x**3 - 8*x**2 - 6*x - 2
exp(x),exp(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
-15*x**2 + 18*x - sin(x) + 2,-5*x**3 + 9*x**2 + 2*x + cos(x) - 9
14*x + 2,7*x**2 + 2*x - 9
-18*x**2 - 10*x - 7,-6*x**3 - 5*x**2 - 7*x + 2
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
(-sin(x) + 1/x)*log(x) + (log(x) + cos(x))/x,(log(x) + cos(x))*log(x)
exp(x),exp(x)
9*x**2 - 20*x,3*x**3 - 10*x**2 + 1
12*x**2 - 12*x - 8,4*x**3 - 6*x**2 - 8*x - 10
(1 - 15*x**2)*exp(x) + (-5*x**3 + x + 8)*exp(x),(-5*x**3 + x + 8)*exp(x)
cos(x),sin(x)
exp(x),exp(x)
-12*x**2 - 14*x + 4,-4*x**3 - 7*x**2 + 4*x - 1
9*x**2 - 14*x - 10,3*x**3 - 7*x**2 - 10*x + 5
30*x**2 + 10*x - 4,10*x**3 + 5*x**2 - 4*x - 8
1/x,log(x)
exp(x),exp(x)
1/x,log(x)
12*x**2 + 18*x + 1,4*x**3 + 9*x**2 + x - 2
(-24*x**2 + 28*x - 16)*cos(x) - (-8*x**3 + 14*x**2 - 16*x + 14)*sin(x),(-8*x**3 + 14*x**2 - 16*x + 14)*cos(x)
1/x,log(x)
12*x**2 - 14*x - 3,4*x**3 - 7*x**2 - 3*x - 4
-sin(x),cos(x)
-24*x**2 - 4*x + 3,-8*x**3 - 2*x**2 + 3*x - 10
exp(x),exp(x)
2*(tan(x)**2 + 1)*log(x) + 2*tan(x)/x,2*log(x)*tan(x)
1/x,log(x)
1/x,log(x)
15*x**2 + 16*x - 2,5*x**3 + 8*x**2 - 2*x - 4
exp(x),exp(x)
-30*x**2 + 12*x + 8,-10*x**3 + 6*x**2 + 8*x - 18
18*x**2 + tan(x)**2 + 11,6*x**3 + 10*x + tan(x) - 8
24*x**2 - 12*x + 2,8*x**3 - 6*x**2 + 2*x - 1
-sin(x),cos(x)
-log(x)*sin(x) + cos(x)/x,log(x)*cos(x)
exp(x),exp(x)
exp(x),exp(x)
-24*x**2 - 2*x + 4,-8*x**3 - x**2 + 4*x + 1
(-21*x**2 - 20*x - 10)*log(x) + (-7*x**3 - 10*x**2 - 10*x + 2)/x,(-7*x**3 - 10*x**2 - 10*x + 2)*log(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
12*x**2 + 20*x + 10,4*x**3 + 10*x**2 + 10*x - 1
cos(x),sin(x)
exp(x),exp(x)
-2*sin(x),2*cos(x)
tan(x)**2 + 1,tan(x)
-21*x**2 - 3,-7*x**3 - 3*x - 3
6*x**2 + 18*x - 4,2*x**3 + 9*x**2 - 4*x + 3
cos(x),sin(x)
2 - 21*x**2,-7*x**3 + 2*x + 2
12*x**2 - 6*x + 8,4*x**3 - 3*x**2 + 8*x - 3
3*x**2 + 6*x + 2,x**3 + 3*x**2 + 2*x + 5
-9*x**2 - 20*x + 6,-3*x**3 - 10*x**2 + 6*x + 3
1/x,log(x)
exp(x) - sin(x),exp(x) + cos(x)
(exp(x) + tan(x))*(tan(x)**2 + 1) + (exp(x) + tan(x)**2 + 1)*tan(x),(exp(x) + tan(x))*tan(x)
cos(x),sin(x)
12*x**2 + 10*x + 7,4*x**3 + 5*x**2 + 7*x - 10
-6*x**2 - 4*x + 7,-2*x**3 - 2*x**2 + 7*x + 10
1/x,log(x)
-sin(x),cos(x)
1/x,log(x)
24*x**2 - 8*x + 7,8*x**3 - 4*x**2 + 7*x - 10
-6*x**2 + 16*x + 9,-2*x**3 + 8*x**2 + 9*x - 1
16*x + tan(x)**2 - 7,8*x**2 - 8*x + tan(x) - 7
cos(x),sin(x)
(exp(x) + tan(x))*(tan(x)**2 + 1) + (exp(x) + tan(x)**2 + 1)*tan(x),(exp(x) + tan(x))*tan(x)
21*x**2 + 20*x + 6,7*x**3 + 10*x**2 + 6*x - 10
(tan(x)**2 + 1)*(-8*x**3 + 9*x**2 - x - 1) + (-24*x**2 + 18*x - 1)*tan(x),(-8*x**3 + 9*x**2 - x - 1)*tan(x)
exp(x),exp(x)
1/x,log(x)
-15*x**2 - 18*x - 4,-5*x**3 - 9*x**2 - 4*x
cos(x),sin(x)
27*x**2 - 20*x - 7,9*x**3 - 10*x**2 - 7*x + 4
1/x,log(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
24*x**2 + 8*x + 2,8*x**3 + 4*x**2 + 2*x + 1
cos(x),sin(x)
-sin(x),cos(x)
exp(x),exp(x)
-18*x**2 - 10*x - sin(x) - 5,-6*x**3 - 5*x**2 - 5*x + cos(x) - 2
-24*x**2 - 2*x - 4,-8*x**3 - x**2 - 4*x
-sin(x),cos(x)
cos(x),sin(x)
exp(x),exp(x)
-27*x**2 + 20*x - 10,-9*x**3 + 10*x**2 - 10*x + 1
(-48*x**2 - 36*x + 10)*(-8*x**3 - 9*x**2 + 5*x - 3),(-8*x**3 - 9*x**2 + 5*x - 3)**2
cos(x),sin(x)
cos(x),sin(x)
-sin(x),cos(x)
2/x,2*log(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
(-24*x**2 - 24*x - 4)*(-4*x**3 - 6*x**2 - 2*x + 10),(-4*x**3 - 6*x**2 - 2*x + 10)**2
1/x,log(x)
12*x**2 - 12*x + 9,4*x**3 - 6*x**2 + 9*x - 2
1/x,log(x)
-18*x**2 - 2*x + 10,-6*x**3 - x**2 + 10*x - 3
1/x,log(x)
cos(x),sin(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
27*x**2 - 2*x + 9,9*x**3 - x**2 + 9*x - 9
-6*x**2 + 8*x - 5,-2*x**3 + 4*x**2 - 5*x + 10
